WorkerId,sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
5bdea9864567a8614b659bf4b2132ab0,0.45,0.56,0.70,0.77,0.79,0.79,0.80,0.78,0.76,0.72,0.76,0.80,0.80,0.78,0.78,0.82,0.82,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.77,0.73,0.69,0.67,0.68,0.69,0.71,0.73,0.76,0.78,0.78,0.75,0.70,0.66,0.65,0.63,0.62,0.66,0.70,0.71,0.67,0.64,0.63,0.61,0.57,0.53,0.54,0.59,0.64,0.65,0.61,0.59,0.57,0.58
7cecbffe1da5ae974952db6c13695afe,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.65,0.73,0.74,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
ed7ed76453bd846859f5e6b9149df276,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
b92704ea431d60d62bd8fd18e2940067,0.39,0.39,0.39,0.39,0.42,0.46,0.48,0.52,0.58,0.56,0.54,0.58,0.61,0.59,0.58,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.64,0.66,0.64,0.62,0.65,0.65,0.64,0.62,0.62,0.58,0.53,0.56,0.58,0.56,0.55,0.59,0.58,0.57,0.55,0.54,0.57,0.55,0.57,0.58,0.59,0.60,0.62,0.61,0.55,0.49,0.42
b09a5957e5d5e47e556d203529a0ae6d,0.83,0.83,0.83,0.83,0.83,0.83,0.87,0.87,0.87,0.88,0.89,0.89,0.86,0.80,0.78,0.78,0.78,0.78,0.78,0.78,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
46a2289decf79f747406fa91cd92fc27,0.48,0.52,0.58,0.64,0.67,0.71,0.75,0.78,0.79,0.79,0.79,0.82,0.92,0.95,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
a30d244141cb2f51e0803e79bc4bd147,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
accbf566ae920d6260d28454e1ee0d6a,0.81,0.80,0.80,0.80,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.80,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.76,0.76,0.77,0.78,0.75,0.75,0.73,0.73,0.73,0.73,0.73,0.74,0.75,0.75,0.75,0.75,0.75,0.75,0.77,0.81,0.82,0.80,0.76,0.77,0.77,0.77,0.76,0.75,0.80,0.83,0.86,0.89,0.89,0.88,0.88,0.88,0.89,0.88,0.88,0.88,0.88
eca1130f44cd2e17645e40a0fa2ef59b,0.12,0.14,0.14,0.14,0.14,0.15,0.16,0.16,0.16,0.16,0.17,0.19,0.19,0.20,0.20,0.20,0.21,0.20,0.20,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.23,0.23,0.23,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17
607f6e34a0b5923333f6b16d3a59cc98,0.26,0.33,0.47,0.47,0.52,0.54,0.56,0.57,0.55,0.56,0.54,0.59,0.64,0.65,0.62,0.62,0.62,0.65,0.62,0.62,0.66,0.66,0.68,0.73,0.67,0.65,0.68,0.62,0.61,0.60,0.63,0.68,0.64,0.62,0.57,0.60,0.61,0.65,0.68,0.68,0.74,0.75,0.74,0.71,0.71,0.69,0.67,0.72,0.77,0.72,0.75,0.76,0.77,0.78,0.78,0.76,0.72,0.68,0.76,0.83
