sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
0.16522,0.16522,0.16522,0.16522,0.16522,0.16522,0.16522,0.16522,0.16522,0.16522,0.16522,0.16522,0.16522,-0.013785,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.022761,-0.021739,-0.021739,-0.021739,-0.021739,-0.021739,-0.026752,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913,0.03913
-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783,-0.74783
-0.3587,-0.3587,-0.3587,-0.3587,-0.3587,-0.3587,-0.3587,-0.3587,-0.3587,-0.3587,-0.3587,-0.3587,-0.37174,-0.37174,-0.36524,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304
-0.45435,-0.45435,-0.45435,-0.45435,-0.54744,-0.58399,-0.59348,-0.58496,-0.56223,-0.55919,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739,-0.56739
-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366,-0.083366
0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149,0.50149
-0.38044,-0.38044,-0.38044,-0.38358,-0.40663,-0.39348,-0.42357,-0.41957,-0.41957,-0.41957,-0.41957,-0.40217,-0.40217,-0.40217,-0.40217,-0.40217,-0.40217,-0.35807,-0.36563,-0.36443,-0.36172,-0.41007,-0.36608,-0.40378,-0.4163,-0.39614,-0.39348,-0.39348,-0.39348,-0.39348,-0.39348,-0.39348,-0.41651,-0.38044,-0.38044,-0.38044,-0.38044,-0.38044,-0.38044,-0.38044,-0.35425,-0.37584,-0.35435,-0.36808,-0.3413,-0.3413,-0.3413,-0.3413,-0.33696,-0.33696,-0.33696,-0.33696,-0.34699,-0.34565,-0.34565,-0.34565,-0.34565,-0.34565,-0.34565,-0.34565
0.03171,0.034783,0.042228,0.047826,0.05326,0.062559,0.069565,0.046625,0.094033,0.12253,0.15088,0.12767,0.12174,0.12555,0.13478,0.13478,0.13478,0.13965,0.14931,0.14319,0.11341,0.10984,0.10435,0.10961,0.13183,0.14783,0.12051,0.11739,0.11739,0.11739,0.11739,0.12918,0.14053,0.14348,0.14348,0.14348,0.14348,0.14348,0.14348,0.13665,0.12984,0.1201,0.10813,0.092534,0.088321,0.048674,0.01961,-0.040136,-0.099429,-0.19245,-0.26449,-0.30899,-0.37124,-0.40489,-0.40021,-0.33742,-0.28207,-0.24995,-0.23546,-0.21304
-0.13696,-0.13696,-0.13696,-0.13696,-0.13696,-0.13696,-0.13696,-0.13696,-0.13696,-0.13696,-0.13106,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12267,-0.10901,-0.10562,-0.10217,-0.10217,-0.099847,-0.092132,-0.08913,-0.08913,-0.08913,-0.08913,-0.08913,-0.08913,-0.08913,-0.08913,-0.08913,-0.08913,-0.08913,-0.08913,-0.093478,-0.093478,-0.093478,-0.093478,-0.093478,-0.093478,-0.093478,-0.093478,-0.093478,-0.12733,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826,-0.12826
0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51522,0.51406,0.47092
