SongId, WorkerId, Arousal_Average, Valence_Average, Arousal_Maximum, Valence_Maximum, Arousal_Minimum, Valence_Minimum
2001,523edc3414996c8e52eb14f20c93fe96,7,3,8,7,2,2
2001,ae0b751438f08bb474e5cd3e48e0d417,5,3,9,3,3,2
2001,fd4cc3ae7434a18286204f133b490502,7,3,8,5,4,2
2001,58af5138dd2f00af1f52d2c2c031f4a2,7,2,9,4,5,1
2001,3c960e4e5a02213fc82b98b770a0663c,7,5,9,6,3,4
2002,ae0b751438f08bb474e5cd3e48e0d417,6,7,8,9,2,6
2002,58af5138dd2f00af1f52d2c2c031f4a2,5,6,8,9,1,3
2002,fd4cc3ae7434a18286204f133b490502,6,7,9,9,3,6
2002,523edc3414996c8e52eb14f20c93fe96,3,6,5,7,1,5
2002,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,7,7,4,5
2003,ae0b751438f08bb474e5cd3e48e0d417,3,6,4,7,1,4
2003,58af5138dd2f00af1f52d2c2c031f4a2,7,4,9,6,1,2
2003,523edc3414996c8e52eb14f20c93fe96,2,5,4,8,1,3
2003,fd4cc3ae7434a18286204f133b490502,5,4,6,6,2,3
2003,b8bc7171b9ff0de8aaed0bf210fb711c,6,8,8,9,2,5
2004,58af5138dd2f00af1f52d2c2c031f4a2,6,3,8,5,3,1
2004,ae0b751438f08bb474e5cd3e48e0d417,4,5,5,6,3,4
2004,fd4cc3ae7434a18286204f133b490502,6,6,8,8,3,4
2004,523edc3414996c8e52eb14f20c93fe96,2,6,2,6,1,4
2004,949fcd0caf9d4b51a280acfbcd5e8e80,6,5,7,7,4,3
2005,fd4cc3ae7434a18286204f133b490502,6,4,9,5,1,1
2005,523edc3414996c8e52eb14f20c93fe96,5,3,9,5,1,1
2005,ae0b751438f08bb474e5cd3e48e0d417,4,3,7,4,2,2
2005,58af5138dd2f00af1f52d2c2c031f4a2,5,3,9,4,2,1
2005,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,8,7,4,3
2006,ae0b751438f08bb474e5cd3e48e0d417,3,4,4,5,1,2
2006,fd4cc3ae7434a18286204f133b490502,4,6,6,7,3,4
2006,523edc3414996c8e52eb14f20c93fe96,2,6,3,7,2,4
2006,58af5138dd2f00af1f52d2c2c031f4a2,5,4,6,5,2,2
2006,3c960e4e5a02213fc82b98b770a0663c,2,5,3,5,2,5
2007,523edc3414996c8e52eb14f20c93fe96,3,4,5,5,1,4
2007,58af5138dd2f00af1f52d2c2c031f4a2,4,3,7,6,2,2
2007,ae0b751438f08bb474e5cd3e48e0d417,3,3,4,3,3,2
2007,fd4cc3ae7434a18286204f133b490502,6,4,7,5,4,2
2007,b8bc7171b9ff0de8aaed0bf210fb711c,6,3,8,6,2,2
2008,523edc3414996c8e52eb14f20c93fe96,1,4,2,6,1,4
2008,58af5138dd2f00af1f52d2c2c031f4a2,3,7,5,7,2,6
2008,ae0b751438f08bb474e5cd3e48e0d417,3,6,3,6,3,6
2008,fd4cc3ae7434a18286204f133b490502,5,5,6,6,4,5
2008,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,7,7,5,4
2009,523edc3414996c8e52eb14f20c93fe96,1,4,2,5,1,3
2009,ae0b751438f08bb474e5cd3e48e0d417,3,6,4,7,2,5
2009,fd4cc3ae7434a18286204f133b490502,5,4,6,6,4,3
2009,58af5138dd2f00af1f52d2c2c031f4a2,6,6,8,8,4,4
2009,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,8,8,5,4
2010,58af5138dd2f00af1f52d2c2c031f4a2,6,5,8,7,4,3
2010,ae0b751438f08bb474e5cd3e48e0d417,3,7,4,7,3,7
2010,fd4cc3ae7434a18286204f133b490502,5,5,6,6,4,4
2010,523edc3414996c8e52eb14f20c93fe96,3,6,5,7,2,5
2010,949fcd0caf9d4b51a280acfbcd5e8e80,7,7,9,8,6,6
2011,ae0b751438f08bb474e5cd3e48e0d417,4,3,7,4,2,2
2011,fd4cc3ae7434a18286204f133b490502,5,5,6,6,4,4
2011,523edc3414996c8e52eb14f20c93fe96,3,3,6,5,1,3
2011,58af5138dd2f00af1f52d2c2c031f4a2,7,7,8,9,2,3
2011,b8bc7171b9ff0de8aaed0bf210fb711c,6,3,7,6,3,2
2012,58af5138dd2f00af1f52d2c2c031f4a2,5,2,9,5,1,1
2012,fd4cc3ae7434a18286204f133b490502,7,3,8,4,5,2
2012,ae0b751438f08bb474e5cd3e48e0d417,3,3,5,4,2,2
2012,523edc3414996c8e52eb14f20c93fe96,3,4,5,5,1,3
2012,949fcd0caf9d4b51a280acfbcd5e8e80,6,4,8,5,4,2
2012,b8bc7171b9ff0de8aaed0bf210fb711c,7,3,9,4,3,1
2013,58af5138dd2f00af1f52d2c2c031f4a2,6,5,9,8,1,2
2013,fd4cc3ae7434a18286204f133b490502,6,5,8,7,4,3
2013,ae0b751438f08bb474e5cd3e48e0d417,5,6,7,7,2,4
2013,523edc3414996c8e52eb14f20c93fe96,4,5,6,7,1,3
2013,949fcd0caf9d4b51a280acfbcd5e8e80,7,6,8,7,5,4
2014,fd4cc3ae7434a18286204f133b490502,8,3,8,5,6,2
2014,523edc3414996c8e52eb14f20c93fe96,6,3,9,4,3,1
2014,ae0b751438f08bb474e5cd3e48e0d417,6,2,8,3,4,2
2014,949fcd0caf9d4b51a280acfbcd5e8e80,7,4,9,6,4,2
2014,b8bc7171b9ff0de8aaed0bf210fb711c,6,3,8,4,4,2
2015,523edc3414996c8e52eb14f20c93fe96,4,6,5,7,3,5
2015,fd4cc3ae7434a18286204f133b490502,6,6,7,7,6,4
2015,ae0b751438f08bb474e5cd3e48e0d417,4,7,5,7,3,6
2015,58af5138dd2f00af1f52d2c2c031f4a2,7,8,8,9,5,4
2015,b8bc7171b9ff0de8aaed0bf210fb711c,6,6,7,7,4,4
2016,fd4cc3ae7434a18286204f133b490502,7,7,8,8,6,6
2016,ae0b751438f08bb474e5cd3e48e0d417,4,7,4,7,4,7
2016,58af5138dd2f00af1f52d2c2c031f4a2,8,7,9,8,5,6
2016,523edc3414996c8e52eb14f20c93fe96,2,7,3,8,1,6
2016,949fcd0caf9d4b51a280acfbcd5e8e80,7,8,8,9,6,7
2017,58af5138dd2f00af1f52d2c2c031f4a2,7,7,9,8,3,6
2017,ae0b751438f08bb474e5cd3e48e0d417,7,7,7,7,7,7
2017,fd4cc3ae7434a18286204f133b490502,7,6,8,7,6,6
2017,523edc3414996c8e52eb14f20c93fe96,5,7,6,7,3,6
2017,ae0b751438f08bb474e5cd3e48e0d417,6,7,7,8,5,6
2017,949fcd0caf9d4b51a280acfbcd5e8e80,7,6,8,8,6,5
2018,ae0b751438f08bb474e5cd3e48e0d417,7,7,7,7,7,6
2018,58af5138dd2f00af1f52d2c2c031f4a2,7,6,9,8,5,4
2018,fd4cc3ae7434a18286204f133b490502,6,6,7,7,6,6
2018,523edc3414996c8e52eb14f20c93fe96,5,6,6,7,4,5
2018,949fcd0caf9d4b51a280acfbcd5e8e80,7,7,8,8,6,7
2018,b8bc7171b9ff0de8aaed0bf210fb711c,6,7,8,7,6,7
2019,ae0b751438f08bb474e5cd3e48e0d417,7,7,7,7,7,7
2019,58af5138dd2f00af1f52d2c2c031f4a2,7,7,9,8,6,5
2019,523edc3414996c8e52eb14f20c93fe96,6,7,7,7,5,6
2019,fd4cc3ae7434a18286204f133b490502,6,6,6,6,5,5
2019,949fcd0caf9d4b51a280acfbcd5e8e80,8,7,8,7,6,5
2020,ae0b751438f08bb474e5cd3e48e0d417,6,7,6,7,4,7
2020,fd4cc3ae7434a18286204f133b490502,6,6,6,6,5,6
2020,523edc3414996c8e52eb14f20c93fe96,5,7,6,7,3,6
2020,58af5138dd2f00af1f52d2c2c031f4a2,6,7,7,8,5,6
2020,949fcd0caf9d4b51a280acfbcd5e8e80,6,7,7,8,5,6
2021,fd4cc3ae7434a18286204f133b490502,6,6,6,6,5,5
2021,523edc3414996c8e52eb14f20c93fe96,2,3,3,4,1,3
2021,58af5138dd2f00af1f52d2c2c031f4a2,6,3,7,6,3,2
2021,ae0b751438f08bb474e5cd3e48e0d417,2,3,3,4,1,2
2021,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,7,7,5,4
2022,fd4cc3ae7434a18286204f133b490502,6,5,6,6,4,4
2022,58af5138dd2f00af1f52d2c2c031f4a2,4,3,5,3,2,2
2022,ae0b751438f08bb474e5cd3e48e0d417,3,3,4,4,2,2
2022,523edc3414996c8e52eb14f20c93fe96,3,4,6,4,1,3
2022,949fcd0caf9d4b51a280acfbcd5e8e80,6,4,7,6,4,3
2023,58af5138dd2f00af1f52d2c2c031f4a2,3,5,7,6,3,3
2023,523edc3414996c8e52eb14f20c93fe96,1,4,2,5,1,4
2023,ae0b751438f08bb474e5cd3e48e0d417,3,6,5,6,2,6
2023,fd4cc3ae7434a18286204f133b490502,5,6,6,7,5,6
2023,b8bc7171b9ff0de8aaed0bf210fb711c,3,7,5,7,1,6
2024,fd4cc3ae7434a18286204f133b490502,5,5,5,6,5,5
2024,ae0b751438f08bb474e5cd3e48e0d417,3,7,3,7,3,7
2024,523edc3414996c8e52eb14f20c93fe96,1,6,2,6,1,5
2024,58af5138dd2f00af1f52d2c2c031f4a2,5,7,7,8,2,5
2024,949fcd0caf9d4b51a280acfbcd5e8e80,8,7,8,8,7,6
2025,58af5138dd2f00af1f52d2c2c031f4a2,8,8,9,9,5,6
